n,seed,endo,mse
5000,1,0.500000,0.136887
5000,5,0.500000,0.145649
5000,4,0.500000,0.153602
5000,8,0.500000,0.127501
5000,7,0.500000,0.150288
1000,3,0.250000,0.239435
1000,1,0.250000,0.246623
1000,4,0.250000,0.242227
1000,5,0.250000,0.268151
1000,8,0.250000,0.354620
1000,2,0.250000,0.220870
1000,7,0.250000,0.174529
1000,6,0.250000,0.250018
1000,9,0.250000,0.235919
1000,15,0.250000,0.184045
1000,14,0.250000,0.228797
1000,16,0.250000,0.289403
1000,13,0.250000,0.260765
1000,11,0.250000,0.391196
1000,12,0.250000,0.235940
1000,10,0.250000,0.202397
1000,22,0.250000,0.277521
1000,18,0.250000,0.233957
1000,20,0.250000,0.270164
1000,23,0.250000,0.301231
1000,17,0.250000,0.271933
1000,21,0.250000,0.265460
1000,19,0.250000,0.230858
1000,24,0.250000,0.204441
1000,27,0.250000,0.225144
1000,30,0.250000,0.304085
1000,28,0.250000,0.273684
1000,25,0.250000,0.231144
1000,31,0.250000,0.205439
1000,32,0.250000,0.224695
1000,26,0.250000,0.233154
1000,29,0.250000,0.227668
1000,37,0.250000,0.327469
1000,35,0.250000,0.259740
1000,36,0.250000,0.297238
1000,40,0.250000,0.198972
1000,39,0.250000,0.219799
1000,33,0.250000,0.199293
1000,38,0.250000,0.225454
1000,34,0.250000,0.239393
5000,10,0.500000,0.143833
5000,9,0.500000,0.156946
5000,14,0.500000,0.151483
5000,11,0.500000,0.145514
5000,12,0.500000,0.130825
5000,16,0.500000,0.161410
5000,13,0.500000,0.154491
5000,17,0.500000,0.150612
5000,18,0.500000,0.132377
5000,24,0.500000,0.172479
5000,22,0.500000,0.140950
5000,20,0.500000,0.150413
5000,23,0.500000,0.147914
5000,19,0.500000,0.145131
5000,21,0.500000,0.146383
5000,32,0.500000,0.151657
5000,29,0.500000,0.170318
5000,27,0.500000,0.164200
5000,31,0.500000,0.155763
5000,25,0.500000,0.152776
5000,28,0.500000,0.148391
5000,30,0.500000,0.138656
5000,26,0.500000,0.155505
5000,15,0.500000,0.137821
5000,35,0.500000,0.129744
5000,40,0.500000,0.134249
5000,38,0.500000,0.136719
5000,33,0.500000,0.137392
5000,37,0.500000,0.148544
5000,36,0.500000,0.131595
5000,34,0.500000,0.139555
5000,39,0.500000,0.175409
